Image Name,PNG Size,CRDR Beta 0.0,CRDR Beta 0.64,CRDR Beta 1.28,CRDR Beta 2.56,CRDR Beta 3.84,CRDR Beta 5.12,HiFiC-Med,Hyperprior,JPEG Quality 70,JPEG Quality 50,MRIC Beta 0.0,MRIC Beta 2.56
0384.png,4509661.0,3758900.0,4083595.0,4148271.0,4320198.0,4487255.0,4654623.0,4098071.0,3293424.0,3638566.0,3240848.0,4372488.0,5269701.0
0385.png,4722213.0,3458767.0,3902289.0,3962769.0,4132344.0,4320529.0,4535114.0,3997786.0,3025120.0,2899197.0,2637217.0,4269107.0,4896229.0
0386.png,3662949.0,3280169.0,3701343.0,3764785.0,3938308.0,4117228.0,4310208.0,3817956.0,2919470.0,2967287.0,2696484.0,4302612.0,5009550.0
0387.png,3071916.0,2522041.0,2798739.0,2846733.0,2965234.0,3086934.0,3200100.0,2870468.0,2269774.0,2488657.0,2244573.0,2852148.0,3373455.0
0388.png,4935988.0,4022861.0,4298176.0,4360223.0,4538605.0,4742399.0,4956884.0,4500675.0,3723160.0,4190588.0,3807604.0,4778194.0,5453578.0
0389.png,2589794.0,2498050.0,2951039.0,3020565.0,3214953.0,3401881.0,3584877.0,3175423.0,2367971.0,2040260.0,1739778.0,3875304.0,4395545.0
0390.png,4153734.0,3342914.0,3698666.0,3756957.0,3919368.0,4115059.0,4331363.0,3908781.0,3115867.0,3153547.0,2893873.0,4534113.0,5148214.0
0391.png,4224794.0,3166796.0,3683506.0,3770095.0,3962310.0,4142428.0,4353302.0,3949129.0,2867076.0,3008341.0,2641442.0,4144374.0,4894428.0
0392.png,5201760.0,4521305.0,4715049.0,4772816.0,4923246.0,5090745.0,5247286.0,4500027.0,3950114.0,4763155.0,4376930.0,4766477.0,5597504.0
0393.png,4066586.0,3000328.0,3640387.0,3730412.0,3946177.0,4174047.0,4394706.0,3867159.0,2595292.0,3055515.0,2496931.0,4094277.0,5012739.0
0394.png,5008625.0,3782041.0,4290139.0,4368887.0,4572205.0,4773852.0,4985109.0,4482119.0,3383616.0,3816355.0,3383170.0,4258924.0,4939197.0
0395.png,5044781.0,4216056.0,4495684.0,4555042.0,4730969.0,4924941.0,5109116.0,4603762.0,3905511.0,4449782.0,4150079.0,4685177.0,5671900.0
0396.png,3313328.0,2574594.0,3107006.0,3178124.0,3347706.0,3501879.0,3663408.0,3294503.0,2279038.0,2412706.0,1982999.0,3607292.0,4185505.0
0397.png,4450347.0,3484557.0,3851580.0,3909895.0,4067446.0,4242813.0,4400510.0,3961314.0,2996384.0,3212915.0,2795373.0,3616086.0,4494393.0
0398.png,4676944.0,3796824.0,4116432.0,4172545.0,4325099.0,4496619.0,4652190.0,4201247.0,3301641.0,3722794.0,3280088.0,4179316.0,5265618.0
0399.png,4062105.0,4007049.0,4304906.0,4364394.0,4524932.0,4703792.0,4893029.0,4268081.0,3410977.0,3820762.0,3373946.0,4805447.0,5610278.0
0400.png,2728606.0,2027950.0,2523206.0,2583750.0,2765743.0,2955778.0,3145739.0,2774409.0,1969360.0,1450462.0,1259817.0,3402623.0,3521007.0
0401.png,3513748.0,2924895.0,3167314.0,3209873.0,3346759.0,3486902.0,3646128.0,3250488.0,2757800.0,2682643.0,2473303.0,4017888.0,4389170.0
0402.png,4376087.0,3408075.0,3783273.0,3856734.0,4063561.0,4267500.0,4464907.0,4041691.0,3155209.0,3734352.0,3356004.0,4469273.0,5079003.0
0403.png,4394955.0,3570430.0,3830911.0,3886538.0,4056689.0,4239431.0,4408737.0,4013721.0,3423713.0,4081439.0,3880753.0,4521387.0,4879089.0
0404.png,6032269.0,4334476.0,5175117.0,5313152.0,5654552.0,5985409.0,6263940.0,5368486.0,3723166.0,4542427.0,4032781.0,5135881.0,6371928.0
0405.png,4043028.0,3325494.0,3670651.0,3736200.0,3923709.0,4125373.0,4351412.0,3929407.0,3132936.0,3317554.0,2961952.0,4295310.0,4903802.0
0406.png,3105429.0,2223293.0,2595931.0,2664232.0,2853703.0,3040842.0,3243089.0,2878969.0,2090245.0,1868107.0,1583570.0,3446176.0,3650360.0
0407.png,4455854.0,3336463.0,3818935.0,3907635.0,4133349.0,4345854.0,4546424.0,4086899.0,3022832.0,3584384.0,3164260.0,4176166.0,5005094.0
0408.png,5086133.0,4226491.0,4533476.0,4599723.0,4776378.0,4964637.0,5163190.0,4727267.0,3950537.0,4770797.0,4515511.0,4645920.0,5238645.0
0409.png,6047001.0,5556204.0,5722378.0,5768440.0,5891837.0,6029484.0,6158259.0,5545283.0,5151473.0,5695864.0,5319270.0,5980948.0,6683949.0
0410.png,4381217.0,3399071.0,3805376.0,3877722.0,4066821.0,4249768.0,4427082.0,3981738.0,3006398.0,3410518.0,2919455.0,4047964.0,4763615.0
0411.png,4668854.0,4013396.0,4247281.0,4302129.0,4444522.0,4604901.0,4751228.0,4247905.0,3462540.0,3965362.0,3436008.0,3801140.0,4809350.0
0412.png,4998945.0,4163643.0,4449896.0,4517308.0,4703415.0,4906176.0,5125442.0,4664736.0,3922688.0,4571035.0,4192739.0,4933868.0,5723415.0
0413.png,4328501.0,4281166.0,4538468.0,4582371.0,4702945.0,4833363.0,4959118.0,4490278.0,3987774.0,4156682.0,3744338.0,4999510.0,5891700.0
0414.png,4122542.0,3003556.0,3500826.0,3572665.0,3765063.0,3963559.0,4158986.0,3709162.0,2857336.0,2912360.0,2542532.0,4098804.0,4580489.0
0415.png,4152183.0,3671114.0,3998092.0,4058156.0,4226702.0,4395364.0,4570513.0,4185919.0,3493796.0,3870061.0,3587062.0,4495100.0,5007905.0
0416.png,3084699.0,1924907.0,2451648.0,2521327.0,2703517.0,2882961.0,3101306.0,2792284.0,1570616.0,1283038.0,1022268.0,3104382.0,3444829.0
0417.png,5141536.0,4412807.0,4669492.0,4729828.0,4891463.0,5073725.0,5280402.0,4766486.0,4143632.0,4716759.0,4422398.0,5176780.0,5949660.0
0418.png,4719758.0,3739407.0,4165220.0,4242728.0,4444072.0,4643396.0,4828735.0,4289277.0,3362871.0,3662617.0,3201981.0,4547552.0,5384603.0
0419.png,4071095.0,2912100.0,3325863.0,3398516.0,3596073.0,3773860.0,3955862.0,3629670.0,2836042.0,2931818.0,2593005.0,3809819.0,4012409.0
